sept20_publishFINAL
Operator,Technology1,Upload or Download,Speed,Signal Strength,Location
JIO,4G,download,2454,-86,Tamil Nadu
JIO,4G,download,2850,-94,Tamil Nadu
JIO,4G,upload,226,-101,Tamil Nadu
JIO,4G,upload,964,-86,Tamil Nadu
JIO,4G,upload,382,-94,Tamil Nadu
JIO,4G,download,6054,-93,Haryana
JIO,4G,download,5256,-96,Haryana
JIO,4G,upload,5273,-93,Haryana
JIO,4G,upload,2196,-96,Haryana
CELLONE,3G,download,7850,na,Kerala
JIO,4G,download,76606,-72,Delhi
JIO,4G,download,39245,-72,Delhi
JIO,4G,download,10552,-72,Delhi
JIO,4G,upload,6840,-72,Delhi
JIO,4G,upload,6888,-72,Delhi
JIO,4G,upload,6940,-72,Delhi
AIRTEL,4G,download,4407,-110,Bihar
AIRTEL,4G,upload,335,-110,Bihar
VODAFONE,4G,download,27691,-98,Assam
VODAFONE,4G,upload,25857,-98,Assam
JIO,4G,upload,8737,-64,Orissa
JIO,4G,upload,7259,-64,Orissa
JIO,4G,upload,7065,-66,Orissa
JIO,4G,download,895,na,Maharashtra
JIO,4G,download,2247,na,Maharashtra
JIO,4G,download,3184,na,Maharashtra
JIO,4G,download,2727,na,Maharashtra
JIO,4G,download,12640,na,Maharashtra
JIO,4G,download,611,na,Maharashtra
JIO,4G,download,1563,na,Maharashtra
JIO,4G,download,2867,na,Maharashtra
JIO,4G,download,1775,na,Maharashtra
JIO,4G,download,1823,na,Maharashtra
JIO,4G,upload,434,na,Maharashtra
JIO,4G,upload,1364,na,Maharashtra
JIO,4G,upload,1598,na,Maharashtra
JIO,4G,upload,2370,na,Maharashtra
JIO,4G,upload,8779,na,Maharashtra
JIO,4G,upload,1009,na,Maharashtra
JIO,4G,upload,1414,na,Maharashtra
JIO,4G,upload,1590,na,Maharashtra
JIO,4G,upload,1138,na,Maharashtra
JIO,4G,upload,401,na,Maharashtra
JIO,4G,download,12276,-78,UP West
JIO,4G,upload,6489,-78,UP West
AIRTEL,4G,download,2435,-111,Kerala
AIRTEL,4G,download,3169,-111,Kerala
VODAFONE,4G,download,0.0,-103,Kerala
VODAFONE,4G,download,6280,-109,Kerala
VODAFONE,4G,download,13033,-109,Kerala
VODAFONE,4G,download,11179,-107,Kerala
VODAFONE,4G,download,481,-107,Kerala
VODAFONE,4G,download,3138,-109,Kerala
VODAFONE,4G,download,2325,-83,Kerala
VODAFONE,4G,download,7724,-87,Kerala
VODAFONE,4G,download,0.0,-103,Kerala
VODAFONE,4G,download,5665,-105,Kerala
VODAFONE,4G,download,11484,-83,Kerala
VODAFONE,4G,download,934,-87,Kerala
VODAFONE,4G,download,15066,-83,Kerala
VODAFONE,4G,download,540,-83,Kerala
VODAFONE,4G,download,11536,-81,Kerala
AIRTEL,4G,upload,153,na,Kerala
AIRTEL,4G,upload,114,-111,Kerala
VODAFONE,4G,upload,412,-103,Kerala
VODAFONE,4G,upload,9101,-109,Kerala
VODAFONE,4G,upload,8445,-109,Kerala
VODAFONE,4G,upload,8533,-107,Kerala
VODAFONE,4G,upload,67,-105,Kerala
VODAFONE,4G,upload,1453,na,Kerala
VODAFONE,4G,upload,4120,-83,Kerala
VODAFONE,4G,upload,4291,-85,Kerala
VODAFONE,4G,upload,1505,-103,Kerala
VODAFONE,4G,upload,1891,-103,Kerala
VODAFONE,4G,upload,3463,-83,Kerala
VODAFONE,4G,upload,2927,-87,Kerala
VODAFONE,4G,upload,3377,-85,Kerala
VODAFONE,4G,upload,3423,-81,Kerala
VODAFONE,4G,upload,3563,-79,Kerala
AIRTEL,4G,download,2003,-101,UP East
AIRTEL,4G,upload,1173,-101,UP East
JIO,4G,download,80762,-70,Kolkata
JIO,4G,upload,8730,-70,Kolkata
IDEA,4G,download,14699,-89,Maharashtra
IDEA,4G,download,7031,-91,Maharashtra
IDEA,4G,upload,7196,-91,Maharashtra
IDEA,4G,upload,4015,-89,Maharashtra
JIO,4G,download,1057,-75,Madhya Pradesh
JIO,4G,download,6200,-102,Madhya Pradesh
JIO,4G,download,1193,-107,Madhya Pradesh
JIO,4G,download,1525,na,Madhya Pradesh
JIO,4G,download,642,-110,Karnataka
JIO,4G,download,925,na,Karnataka
JIO,4G,download,1117,na,Karnataka
JIO,4G,download,1405,-103,Karnataka
JIO,4G,download,890,-101,Karnataka
JIO,4G,download,1064,-101,Karnataka
JIO,4G,download,410,-105,Karnataka
JIO,4G,download,376,-109,Karnataka
JIO,4G,download,924,-112,Karnataka
JIO,4G,download,1188,-107,Karnataka
JIO,4G,download,9545,-98,Karnataka
JIO,4G,download,0.0,-96,Karnataka
JIO,4G,download,19473,-102,Karnataka
JIO,4G,download,27943,-93,Karnataka
JIO,4G,upload,28,-108,Karnataka
JIO,4G,upload,51,na,Karnataka
JIO,4G,upload,111,na,Karnataka
